Incident #,Description,Location,Date
18004686,STALKING,100 BLOCK THORNTON ST,3/31/2018 23:06
18004684,DISORDERLY CONDUCT (M),1000 BLOCK ELM ST,3/31/2018 21:38
18004678,SIMPLE ASSAULT DOMESTIC,100 BLOCK KELLEY ST,3/31/2018 19:54
18004676,POSSESSION OF CONTR DRUG - COCAINE/OPIUM,500 BLOCK BRIDGE ST,3/31/2018 19:00
18004675,CRIMINAL THREATENING (M),0 BLOCK ELLIOT WAY,3/31/2018 18:53
18004674,THEFT (M) - SHOPLIFTING,0 BLOCK ELM ST,3/31/2018 18:30
18004663,IDENTITY FRAUD,100 BLOCK WOODBURY ST,3/31/2018 15:33
18004657,THEFT BY UNAUTHORIZED TAKING OR TRANSFER (M),0 BLOCK KOSCIUSZKO ST,3/31/2018 12:48
18004653,SIMPLE ASSAULT DOMESTIC,400 BLOCK DIX ST,3/31/2018 11:27
18004650,CRIMINAL MISCHIEF (M),100 BLOCK CHESTNUT ST,3/31/2018 9:16
18004651,CONVICTED FELON IN POSSESSION OF DANGEROUS WEAPON,MCGREGOR ST / FOUNDRY ST,3/31/2018 8:57
18004647,SIMPLE ASSAULT DOMESTIC,400 BLOCK VALLEY ST,3/31/2018 6:31
18004645,THEFT OF LOST OR MISLAID PROPERTY,0 BLOCK CLINTON ST,3/31/2018 4:47
18004644,DISORDERLY CONDUCT (M),100 BLOCK HANOVER ST,3/31/2018 1:36
18004640,THEFT OF A MV (A),600 BLOCK UNION ST,3/31/2018 1:01
18004639,SIMPLE ASSAULT DOMESTIC,900 BLOCK ELM ST,3/30/2018 23:44
18004642,SIMPLE ASSAULT DOMESTIC,200 BLOCK WILSON ST,3/30/2018 22:47
18004634,SIMPLE ASSAULT DOMESTIC,500 BLOCK ELM ST,3/30/2018 22:22
18004636,POSSESSION OF CONTR DRUG - OTHER DANGEROUS,HANOVER ST / LINCOLN ST,3/30/2018 22:15
18004633,STALKING,200 BLOCK LAKE AVE,3/30/2018 21:41
18004631,AGGRAVATED DRIVING WHILE INTOXICATED,200 BLOCK VALLEY ST,3/30/2018 21:11
18004630,SIMPLE ASSAULT,100 BLOCK MCGREGOR ST,3/30/2018 21:00
18004625,STALKING,0 BLOCK ELLIOT WAY,3/30/2018 17:14
18004620,"THEFT, FRAUD (A)",0 BLOCK BRIDGE ST,3/30/2018 13:21
18004601,CRIMINAL MISCHIEF (M),200 BLOCK S MAIN ST,3/30/2018 13:21
18004606,STALKING,200 BLOCK CENTRAL ST,3/30/2018 13:06
18004595,THEFT BY UNAUTHORIZED TAKING OR TRANSFER (M),0 BLOCK HANOVER ST,3/30/2018 11:52
18004604,THEFT BY UNAUTHORIZED TAKING OR TRANSFER (M),300 BLOCK CARTIER ST,3/30/2018 11:22
